"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Ventral otocyst","Fbxo2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Fbxo27","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo31","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo32","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo33","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo34","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo40","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fbxo40","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxo41","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fbxw17","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fbxw7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Fcer1g","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Fcgr3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Fchsd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Fcrls","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fdft1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fdxr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fes","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fez2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fgd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Early neuroblast","Fgf10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Fgf13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fgf18","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Early neuroblast","Fgf3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fgf5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Early neuroblast","Fgf8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fgf9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Fgfr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fgfr1op","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Fgfr3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Fgfr3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fgfr3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fh1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Fhad1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fhdc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fhod3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fign","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Filip1l","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Firre","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Fjx1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fkbp11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fkbp1b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fkbp5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fkbp9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Fli1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Fli1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Fli1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Flnb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Flot2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Flrt3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Flt1","Single-cell sequencing","3","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Flt3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Flywch1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Flywch2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Fmn1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fmn1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fmnl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fmod","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Fn1","Single-cell sequencing","3","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fn3k","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fnbp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fnbp1l","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Fndc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Fndc3b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fndc4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Foxc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Foxj1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Foxj2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Foxo1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Foxq1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Martinotti cell","Foxred2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fpgt","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Frat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Frat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Frat2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Frmd4b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Frmd4b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Frmd5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Frmd8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Frmpd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Frzb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fscn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Fst","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fstl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fstl4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fstl5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fubp3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fuca2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fundc2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fuom","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Furin","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fut8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fut8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Fut9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fut9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Activated neural stem cell","Fxyd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fxyd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Fxyd6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fxyd6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Fyb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Fyb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Late neuroblast","Fzd10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Fzd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Fzd6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ventral otocyst","Fzd8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","G0s2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","G0s2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Gab1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gabpa","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Gabra2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gabrb2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Gabrg1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gabrg2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gadd45b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gadd45g","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Gal3st1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Galk2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Galnt13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Galnt14","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Galnt5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Galnt6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Galnt9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Galntl6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Immature olfactory sensory neuron","Gap43","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Gap43","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gap43","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gart","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Gas6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Gata2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gata2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gata3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gatsl3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gbe1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Gbx2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gcnt4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gcsh","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Gdf10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gdpd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Activated neural stem cell","Gfap","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neural stem cell","Gfap","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gfod1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Gfra1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Gfra1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gga3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Ggact","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Ghr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Gipc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Gja1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Gja1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Quiescent neural stem cell","Gja1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Gja4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Gjb1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Gjb6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Gjc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Gjc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Gjc2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Gjc3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Gjc3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Glce","Single-cell sequencing","1","DETAIL"
